met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
11500,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,612.32,533.49,411.12,298.80,195.32
11700,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1767.61,1481.20,1052.71,676.54,344.42
11700,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,328.79,258.90,151.23,53.29,0.00
11700,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,1066.17,839.53,490.38,172.82,0.00
11700,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,293.52,231.12,135.00,47.58,0.00
11700,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,409.50,322.45,188.35,66.38,0.00
11700,27-1,Graphic Designers,"Arts, Design, Entertainment, Sports, Media",2600,low,572.21,528.54,460.37,397.38,338.97
11700,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,388.45,358.81,312.53,269.77,230.12
11700,27-3,Public Relations Specialists,"Arts, Design, Entertainment, Sports, Media",2600,low,595.32,549.88,478.96,413.43,352.66
11700,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,2770.53,665.54,0.00,0.00,0.00
11700,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,1179.11,283.25,0.00,0.00,0.00
11700,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,570.15,457.98,284.60,126.26,0.00
11700,31-9,Medical Assistants,Healthcare Support,3600,low,308.11,247.49,153.80,68.23,0.00
11700,33-2,Firefighters,Protective Service,3700,low,8.19,0.00,0.00,0.00,0.00
11700,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,9.64,0.00,0.00,0.00,0.00
11700,33-9,Security Guards,Protective Service,3700,low,9.72,0.00,0.00,0.00,0.00
11700,35-1,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,4000,low,408.51,362.45,291.44,226.80,167.72
11700,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,1541.70,1367.88,1099.90,855.95,632.97
11700,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,2079.15,1844.73,1483.34,1154.34,853.63
11700,35-9,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving,4000,low,428.12,379.85,305.44,237.69,175.77
11700,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,1150.20,140.73,0.00,0.00,0.00
11700,37-3,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,4200,low,393.76,48.18,0.00,0.00,0.00
11700,41-1,First-Line Supervisors of Retail Sales Workers,Sales and Related,4700,low,177.23,0.00,0.00,0.00,0.00
11700,41-2,Retail Salespersons,Sales and Related,4700,low,1002.85,0.00,0.00,0.00,0.00
11700,41-3,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related,4700,low,236.76,0.00,0.00,0.00,0.00
11700,41-4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,4700,low,153.19,0.00,0.00,0.00,0.00
11700,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,965.44,890.58,774.87,669.20,572.30
