met2013,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
46140,Healthcare Support,3600,mid,1183.3094934431529,1013.807478456185,751.828858819681,512.6066957499843,293.2972400884828
46140,"Installation, Maintenance, and Repair",7000,high,1351.994848710429,985.9259417757676,429.71275742137186,0.0,0.0
46140,"Installation, Maintenance, and Repair",7000,low,1135.724760368691,778.7086755622986,236.2383835889559,0.0,0.0
46140,"Installation, Maintenance, and Repair",7000,mid,1249.7945809928287,888.0036620693782,338.2847982718704,0.0,0.0
46140,Legal,2100,high,378.63115635342024,345.9687399344416,294.5297755231536,246.4821323288993,201.46882418909263
46140,Legal,2100,low,307.6966966258626,276.0549731289634,226.22343661607647,179.67721498595483,136.0704836878656
46140,Legal,2100,mid,345.1104747365323,312.930395429883,262.25103472899673,214.91290105123608,170.5642827485267
46140,Management,10,high,43.66460502086193,0.0,0.0,0.0,0.0
46140,Production,7700,high,3716.2934481989305,3356.159807180935,2796.7270839958765,2282.7664101275495,1808.8378326575785
46140,Production,7700,low,3771.358167949107,3409.85313628483,2848.2905956490595,2332.373773181742,1856.6418897383428
46140,Production,7700,mid,3742.314749357185,3381.5330460376917,2821.0938595209664,2306.2087910123773,1831.4280459834335
46140,Protective Service,3700,high,173.45119851062873,64.99674216813673,0.0,0.0,0.0
46140,Protective Service,3700,low,85.63857772878828,0.0,0.0,0.0,0.0
46140,Protective Service,3700,mid,131.95459848747987,24.527279614055715,0.0,0.0,0.0
46220,"Education, Training, and Library",2200,high,1942.8510651674796,1647.2858196392854,1191.9565000634902,777.8156134783094,399.57527606620806
46220,"Education, Training, and Library",2200,low,1688.2192377621386,1400.6065432687635,957.5238484377004,554.5166358289262,186.44023639623356
46220,"Education, Training, and Library",2200,mid,1822.522631726758,1530.71543175645,1081.1733587534272,672.2937843996033,298.85650223441826
46220,Healthcare Practitioners and Technical,3000,high,696.3201172805393,0.0,0.0,0.0,0.0
46220,Healthcare Practitioners and Technical,3000,low,380.3739796859754,0.0,0.0,0.0,0.0
46220,Healthcare Practitioners and Technical,3000,mid,547.0170856218838,0.0,0.0,0.0,0.0
46220,"Life, Physical, and Social Science",1600,high,49.69405752116313,32.701092270118124,5.938021199247487,0.0,0.0
46220,"Life, Physical, and Social Science",1600,low,13.957209471255736,0.0,0.0,0.0,0.0
46220,"Life, Physical, and Social Science",1600,mid,32.80630634813656,16.05634299149301,0.0,0.0,0.0
46220,Production,7700,high,2445.0988113760486,2210.548290761113,1846.1657534690548,1511.3663397432292,1202.6132903814614
46220,Production,7700,low,2280.0350101318018,2049.595414880576,1691.5972878963455,1362.661689059856,1059.3142885442194
46220,Production,7700,mid,2367.0965096846994,2134.488641777587,1773.1231118196556,1441.0946936398695,1134.896129567759
46220,Transportation and Material Moving,9000,high,361.65918429443536,130.98596631393684,0.0,0.0,0.0
46220,Transportation and Material Moving,9000,low,85.90674202604805,0.0,0.0,0.0,0.0
46220,Transportation and Material Moving,9000,mid,231.350024855431,4.019664080173243,0.0,0.0,0.0
46340,Community and Social Service,2000,high,453.99655317866495,344.62117728925045,180.9597218833337,37.25471004231304,0.0
46340,Community and Social Service,2000,low,340.0890729731684,236.73856514213844,82.08705722004447,0.0,0.0
46340,Community and Social Service,2000,mid,400.16860562799,293.64033232798784,134.23660415577433,0.0,0.0
46340,Construction and Extraction,6200,high,127.46301364817464,0.0,0.0,0.0,0.0
46340,"Education, Training, and Library",2200,high,1143.4333315188142,938.5666583153117,622.9510794331954,335.8737015521874,73.67167258915379
46340,"Education, Training, and Library",2200,low,814.6904288791975,620.09091173869,320.2863609089027,47.583133884614654,0.0
